,0
2119,6
2120,7
2121,6
2122,7
2123,9
2124,7
2125,6
2126,6
2127,8
2128,8
2129,8
2130,8
2131,8
2132,8
2133,8
2134,8
2135,6
2136,6
2137,6
2138,7
2139,6
2140,7
2141,6
2142,6
2143,7
2144,6
2145,7
2146,6
2147,7
2148,7
2149,7
2150,7
2151,7
2152,7
2153,9
2154,9
2155,1
2156,9
2157,9
2158,9
2159,9
2160,9
2161,2
2162,9
2163,9
2164,9
2165,9
2166,9
2167,9
2168,2
2169,9
2170,9
2171,2
2172,2
2173,9
2174,1
2175,9
2176,2
2177,0
2178,7
2179,7
2180,7
2181,7
2182,6
2183,6
2184,6
2185,7
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,9
2200,9
2201,6
2202,6
2203,9
2204,7
2205,7
2206,8
2207,8
2208,7
2209,7
2210,8
2211,8
2212,7
2213,1
2214,6
2215,8
2216,8
2217,6
2218,6
2219,6
2220,6
2221,7
2222,10
2223,10
2224,5
2225,5
2226,5
2227,10
2228,1
2229,4
2230,4
2231,4
2232,4
2233,1
2234,1
2235,1
2236,1
